init,     2026-03-30 11:58:32.101730
arguments,Namespace(PPO_epochs=5, alg='ppo', cuda=0, entropy=0.1, eps_clip=0.2, gamma=0.97, gymip_train_xml='inverted_pendulum_ChangeThk_0.050000.xml', hid_group_num=8, hid_group_size=8, hidden_num=64, ignore_checkpoint=True, lr=0.001, model='rwtaspk', monitor_time=False, optimizer='rmsprop', rep=11, response_window=40, road_scenario='highway', rwta_del_connection='none', skip_post_tests=True, snn_num_steps=15, task='gymip', thread=4, traffic_level='standard', train_num=2000)
model_dir,/root/autodl-tmp/SVPG2023/LANE/log_model/highway_standard
train,    1, -1.237127
train,    2, -3.301569
train,    3, -3.288221
train,    4, -12.744118
train,    5, -5.840390
train,    6, 1.107005
train,    7, -5.422737
train,    8, -8.794410
train,    9, -6.474836
train,    10, -9.451482
train,    11, -2.310374
train,    12, -2.092029
train,    13, -3.802945
train,    14, 41.176491
train,    15, -5.393668
train,    16, 1.152893
train,    17, 0.929574
train,    18, -1.725764
train,    19, -5.465231
train,    20, -6.342029
train,    21, 4.411420
train,    22, 9.809072
train,    23, 8.849387
train,    24, 6.728089
train,    25, 3.293359
train,    26, -2.938085
train,    27, -0.828809
train,    28, 2.276865
train,    29, 8.226307
train,    30, 19.506919
train,    31, 17.135587
train,    32, 0.818559
train,    33, 14.476343
train,    34, 10.131833
train,    35, 10.107306
train,    36, 20.594287
train,    37, 8.797910
train,    38, -1.887533
train,    39, 6.334200
train,    40, 14.329108
train,    41, 8.755809
train,    42, -2.898685
train,    43, 9.191660
train,    44, -2.784661
train,    45, 0.088728
train,    46, 11.770191
train,    47, 22.042212
train,    48, 5.014144
train,    49, -2.623133
train,    50, 9.155381
train,    51, 14.770190
train,    52, 9.088019
train,    53, 26.743591
train,    54, 7.199195
train,    55, -2.386241
train,    56, 19.673647
train,    57, 6.103700
train,    58, 6.304233
train,    59, 3.694763
train,    60, 1.022041
train,    61, 43.140860
train,    62, 27.082532
train,    63, 28.240239
train,    64, 100.846827
train,    65, 46.262521
train,    66, 105.146827
train,    67, 98.973143
train,    68, 91.194196
train,    69, 100.965248
train,    70, 95.438932
train,    71, 58.015197
train,    72, 95.438932
train,    73, 94.754722
train,    74, 99.938932
train,    75, 99.938932
train,    76, -4.098414
train,    77, 99.938932
train,    78, 97.833669
train,    79, 90.594770
train,    80, 94.412617
train,    81, 94.412617
train,    82, 99.938932
train,    83, 88.886301
train,    84, 83.359985
train,    85, 105.060521
train,    86, 36.532171
train,    87, 1.313371
train,    88, 2.640333
train,    89, -4.619296
train,    90, 13.304100
train,    91, 99.544196
train,    92, 86.096825
train,    93, 83.702090
train,    94, 83.359985
train,    95, 88.886301
train,    96, 83.359985
train,    97, 101.649459
train,    98, 100.623143
train,    99, 100.965248
val_save, 99,   81.493406
val,      99,   81.493406,   100.965248
train,    100, 29.795544
train,    101, 30.436608
train,    102, 31.378831
train,    103, -1.944844
train,    104, 99.309653
train,    105, -3.534510
train,    106, 93.959985
train,    107, 84.044196
train,    108, 100.281038
train,    109, 90.254722
train,    110, 84.386301
train,    111, 89.570511
train,    112, 89.912617
train,    113, 84.386301
train,    114, 31.124464
train,    115, 20.932226
