episode,baseline_mean_return_mean,baseline_mean_return_std,baseline_mean_return_smooth_mean,baseline_success_rate_mean,baseline_success_rate_std,baseline_success_rate_smooth_mean,baseline_collision_rate_mean,baseline_collision_rate_std,baseline_collision_rate_smooth_mean,baseline_mean_speed_mean,baseline_mean_speed_std,baseline_mean_speed_smooth_mean,ours_mean_return_mean,ours_mean_return_std,ours_mean_return_smooth_mean,ours_success_rate_mean,ours_success_rate_std,ours_success_rate_smooth_mean,ours_collision_rate_mean,ours_collision_rate_std,ours_collision_rate_smooth_mean,ours_mean_speed_mean,ours_mean_speed_std,ours_mean_speed_smooth_mean
100,-3.819910,1.503802,-3.819910,0.129300,0.071168,0.129300,0.601620,0.036544,0.601620,18.776440,0.872598,18.776440,18.838793,1.561291,18.838793,0.127400,0.075900,0.127400,0.526500,0.063135,0.526500,19.539080,1.150228,19.539080
200,10.032778,13.253935,-0.356738,0.100180,0.071557,0.122020,0.563660,0.053486,0.592130,20.447600,1.713259,19.194230,20.055572,24.194777,19.142988,0.128540,0.034351,0.127685,0.567300,0.085670,0.536700,20.904440,1.193001,19.880420
300,29.655001,32.607094,7.146197,0.092460,0.051514,0.114630,0.616020,0.064063,0.598102,19.227780,1.092105,19.202618,0.000000,0.000000,14.357241,0.187700,0.087776,0.142689,0.525880,0.066295,0.533995,20.076580,1.202533,19.929460
400,49.777399,30.846629,17.803997,0.162900,0.130519,0.126698,0.568060,0.058538,0.590592,19.321720,0.503414,19.232393,43.424054,23.213130,21.623944,0.158980,0.034630,0.146762,0.532080,0.037392,0.533516,20.808400,0.703474,20.149195
500,65.028868,33.980917,29.610215,0.169920,0.068585,0.137503,0.530720,0.038032,0.575624,19.619960,0.749289,19.329285,30.826124,21.527907,23.924489,0.173140,0.053044,0.153356,0.559820,0.045386,0.540092,20.006960,1.078075,20.113636
600,37.802784,26.504768,31.658357,0.141400,0.058581,0.138477,0.569180,0.056945,0.574013,18.607720,0.815329,19.148894,22.915608,19.536119,23.672269,0.257380,0.077642,0.179362,0.547180,0.018713,0.541864,20.521360,0.531579,20.215567
700,57.939395,36.000029,38.228617,0.261100,0.080069,0.169133,0.573540,0.045076,0.573895,20.814900,0.241934,19.565395,39.850513,31.913092,27.716830,0.217800,0.058814,0.188972,0.514440,0.011491,0.535008,19.977560,0.584451,20.156065
800,68.289624,28.270243,45.743869,0.214420,0.132063,0.180455,0.566960,0.062892,0.572161,19.777000,1.064175,19.618296,75.510728,29.251196,39.665304,0.275920,0.040710,0.210709,0.504080,0.068147,0.527276,20.922900,0.946778,20.347774
900,71.238108,32.625064,52.117429,0.284000,0.064285,0.206341,0.580200,0.029035,0.574171,20.419720,1.153220,19.818652,81.308934,25.096385,50.076212,0.298260,0.034481,0.232597,0.441600,0.042189,0.505857,21.160660,0.798765,20.550996
1000,43.273100,30.551117,49.906347,0.218700,0.082845,0.209431,0.553400,0.095507,0.568978,20.747480,0.609159,20.050859,68.169615,25.532001,54.599563,0.216900,0.094807,0.228672,0.479660,0.043716,0.499308,20.420460,0.614637,20.518362
1100,76.969937,21.540268,56.672244,0.283580,0.025491,0.227968,0.507120,0.047542,0.553514,22.324840,0.893807,20.619354,92.580743,21.966829,64.094858,0.301660,0.097426,0.246919,0.441040,0.042753,0.484741,21.783280,0.885353,20.834591
1200,30.909289,14.199907,50.231505,0.286200,0.100029,0.242526,0.511920,0.076755,0.543115,22.603860,0.994514,21.115481,55.310583,24.035753,61.898789,0.271800,0.059978,0.253139,0.463520,0.066761,0.479436,21.130960,0.726307,20.908683
1300,46.242729,29.130217,49.234311,0.250540,0.084949,0.244530,0.556460,0.044787,0.546451,21.573720,0.644411,21.230041,65.062298,16.905263,62.689666,0.293620,0.047903,0.263260,0.409120,0.077646,0.461857,22.254780,1.096100,21.245208
1400,35.831300,20.752540,45.883558,0.316700,0.057519,0.262572,0.488460,0.110386,0.531954,22.279300,1.143398,21.492355,75.026949,19.444445,65.773987,0.354240,0.024183,0.286005,0.444580,0.048718,0.457538,22.485740,1.431582,21.555341
1500,57.510176,22.116235,48.790213,0.251180,0.080339,0.259724,0.491680,0.042582,0.521885,21.097840,1.003945,21.393727,76.020620,14.864307,68.335645,0.291820,0.056824,0.287459,0.449680,0.051883,0.455573,22.556960,0.444588,21.805746
1600,53.052164,32.953390,49.855700,0.346040,0.070734,0.281303,0.498800,0.058040,0.516114,21.765080,1.327731,21.486565,71.089270,29.490544,69.024051,0.365780,0.045477,0.307039,0.385820,0.064133,0.438135,22.381660,0.839452,21.949724
1700,65.677497,32.377471,53.811150,0.310980,0.061045,0.288722,0.540620,0.042900,0.522240,21.282680,2.107782,21.435594,46.582876,25.515700,63.413758,0.379480,0.048500,0.325149,0.450400,0.049944,0.441201,22.199120,0.837101,22.012073
1800,101.867693,27.530032,65.825285,0.373980,0.031165,0.310037,0.462240,0.054124,0.507240,21.225900,0.885169,21.383170,82.014194,12.381672,68.063867,0.404280,0.061505,0.344932,0.403260,0.047991,0.431716,21.594300,0.749680,21.907630
1900,63.724491,9.971936,65.300087,0.368560,0.079871,0.324668,0.461060,0.074833,0.495695,22.013800,0.702533,21.540828,73.770527,8.878585,69.490532,0.364760,0.091058,0.349889,0.427780,0.081567,0.430732,22.445720,1.068814,22.042152
2000,90.499461,22.592710,71.599930,0.296080,0.059755,0.317521,0.472800,0.032923,0.489971,23.254420,1.092737,21.969226,89.102159,21.296569,74.393439,0.415800,0.077734,0.366367,0.388160,0.020370,0.420089,22.525780,1.189448,22.163059
2100,99.094053,19.219985,78.473461,0.406380,0.090513,0.339735,0.419060,0.043339,0.472244,22.826360,1.509296,22.183509,112.148570,20.981796,83.832222,0.435400,0.031969,0.383625,0.369020,0.044932,0.407322,22.048540,0.944339,22.134429
2200,105.439292,22.227944,85.214919,0.412100,0.071190,0.357827,0.459820,0.041015,0.469138,23.009860,1.169614,22.390097,128.773455,29.323058,95.067530,0.444500,0.036573,0.398844,0.390680,0.055341,0.403161,23.744540,0.840082,22.536957
