episode,baseline_mean_return_mean,baseline_mean_return_std,baseline_mean_return_smooth_mean,baseline_success_rate_mean,baseline_success_rate_std,baseline_success_rate_smooth_mean,baseline_collision_rate_mean,baseline_collision_rate_std,baseline_collision_rate_smooth_mean,baseline_mean_speed_mean,baseline_mean_speed_std,baseline_mean_speed_smooth_mean,ours_mean_return_mean,ours_mean_return_std,ours_mean_return_smooth_mean,ours_success_rate_mean,ours_success_rate_std,ours_success_rate_smooth_mean,ours_collision_rate_mean,ours_collision_rate_std,ours_collision_rate_smooth_mean,ours_mean_speed_mean,ours_mean_speed_std,ours_mean_speed_smooth_mean
100,36.816514,16.470011,36.816514,0.148580,0.048237,0.148580,0.546120,0.031770,0.546120,20.372260,1.210781,20.372260,42.308430,21.867704,42.308430,0.189740,0.050548,0.189740,0.545460,0.051373,0.545460,20.500900,0.759242,20.500900
200,27.163714,11.808911,34.403314,0.156820,0.033717,0.150640,0.456300,0.041372,0.523665,20.108580,0.740475,20.306340,48.167800,18.142180,43.773273,0.146920,0.077092,0.179035,0.505160,0.028142,0.535385,21.128400,0.446273,20.657775
300,30.391478,12.211003,33.400355,0.237280,0.039078,0.172300,0.430960,0.033384,0.500489,20.912580,1.350391,20.457900,25.098855,12.970750,39.104668,0.236800,0.054362,0.193476,0.500040,0.025568,0.526549,20.887340,0.645295,20.715166
400,54.560195,16.178783,38.690315,0.149100,0.035210,0.166500,0.434840,0.064797,0.484077,21.173820,0.650351,20.636880,69.507031,21.737967,46.705259,0.294300,0.050024,0.218682,0.437100,0.051699,0.504187,21.585480,0.851574,20.932745
500,43.337606,9.269275,39.852138,0.231720,0.073575,0.182805,0.422040,0.064191,0.468567,21.877280,0.429191,20.946980,81.568094,24.140750,55.420968,0.292340,0.061760,0.237097,0.489100,0.032365,0.500415,21.942940,0.640548,21.185294
600,37.531617,22.529688,39.272008,0.235300,0.043861,0.195929,0.451080,0.035881,0.464196,21.508760,0.573772,21.087425,61.559930,46.359728,56.955708,0.282700,0.100931,0.248497,0.449040,0.040584,0.487571,22.202680,0.668304,21.439640
700,83.507424,25.056822,50.330862,0.266620,0.042610,0.213602,0.445560,0.052005,0.459537,21.418360,0.639565,21.170159,74.268866,19.257405,61.283998,0.382900,0.100168,0.282098,0.454820,0.050910,0.479383,22.743120,0.677748,21.765510
800,94.857457,15.984544,61.462511,0.280220,0.051148,0.230256,0.418340,0.049251,0.449238,22.324440,0.753104,21.458729,90.985308,18.802403,68.709325,0.385660,0.051044,0.307989,0.426720,0.059657,0.466218,22.297800,0.699318,21.898583
900,82.571936,15.095036,66.739867,0.240460,0.076162,0.232807,0.344360,0.040976,0.423018,21.657980,0.885685,21.508542,99.249323,23.563929,76.344325,0.448400,0.065228,0.343091,0.365980,0.062331,0.441158,23.027760,1.208424,22.180877
1000,63.585654,39.579846,65.951314,0.275160,0.063785,0.243395,0.435540,0.067587,0.426149,21.190720,0.864559,21.429086,76.443694,35.651107,76.369167,0.380220,0.105376,0.352374,0.394260,0.042052,0.429434,23.043680,0.609011,22.396578
