timesteps,mean_return_mean,mean_return_std,mean_return_smooth_mean,success_rate_mean,success_rate_std,success_rate_smooth_mean,collision_rate_mean,collision_rate_std,collision_rate_smooth_mean,mean_speed_mean,mean_speed_std,mean_speed_smooth_mean
200,-20.385858,1.562682,-20.385858,0.230300,0.031163,0.230300,0.497550,0.010606,0.497550,21.980175,0.889125,21.980175
300,-16.797253,1.475305,-19.488706,0.291650,0.016506,0.245638,0.471650,0.028885,0.491075,22.628525,0.581401,22.142263
400,-13.566844,1.209036,-18.008241,0.365350,0.015594,0.275566,0.404075,0.011387,0.469325,22.755825,0.122685,22.295653
500,-12.030161,0.585343,-16.513721,0.403550,0.013882,0.307562,0.379050,0.019688,0.446756,23.974175,0.555365,22.715284
600,-9.386546,1.137027,-14.731927,0.470050,0.025722,0.348184,0.340850,0.009788,0.420280,24.387450,0.187944,23.133325
700,-6.899455,0.578216,-12.773809,0.506900,0.023307,0.387863,0.319775,0.009340,0.395154,24.278325,0.214017,23.419575
800,-5.470614,1.754118,-10.948010,0.556450,0.016333,0.430010,0.286575,0.015373,0.368009,24.523675,0.226404,23.695600
900,-5.202147,2.433045,-9.511544,0.585650,0.018854,0.468920,0.248400,0.011948,0.338107,25.152275,0.573279,24.059769
1000,-3.558715,2.070445,-8.023337,0.625425,0.012713,0.508046,0.247275,0.008035,0.315399,25.427900,0.299499,24.401802
1100,-2.287889,0.928728,-6.589475,0.672400,0.015134,0.549135,0.227425,0.014311,0.293405,25.822925,0.362240,24.757082
1200,-0.558623,0.563225,-5.081762,0.688550,0.016260,0.583988,0.198850,0.016165,0.269766,26.324350,0.249618,25.148899
1300,1.091638,0.537597,-3.538412,0.719275,0.025431,0.617810,0.176975,0.011291,0.246569,26.579975,0.131049,25.506668
1400,2.323453,0.541666,-2.072946,0.734750,0.025959,0.647045,0.168200,0.013194,0.226976,26.659725,0.203167,25.794932
1500,3.386405,0.856161,-0.708108,0.760300,0.018115,0.675359,0.145750,0.004871,0.206670,26.902350,0.478353,26.071787
1600,4.686433,1.415181,0.640527,0.774050,0.015430,0.700032,0.130950,0.011032,0.187740,26.975500,0.539630,26.297715
1700,4.697859,2.357597,1.654860,0.805300,0.011991,0.726349,0.110700,0.004413,0.168480,27.202175,0.313758,26.523830
1800,4.944521,0.692051,2.477275,0.818425,0.009601,0.749368,0.114675,0.004125,0.155029,27.467175,0.376314,26.759666
1900,6.786533,1.123910,3.554590,0.835175,0.002285,0.770820,0.109275,0.008996,0.143590,27.440775,0.227094,26.929943
2000,8.605372,1.337568,4.817285,0.850325,0.020832,0.790696,0.100225,0.006908,0.132749,27.524250,0.258953,27.078520
2100,9.283419,1.339389,5.933819,0.850950,0.014961,0.805759,0.086625,0.010148,0.121218,27.759375,0.168556,27.248734
