episode,timesteps,is_best,mean_return,mean_return_smooth,success_rate,success_rate_smooth,collision_rate,collision_rate_smooth,mean_progress,mean_progress_smooth,mean_speed,mean_speed_smooth
50,50,0,65.309118,65.309118,0.335500,0.335500,0.484000,0.484000,0.368000,0.368000,28.112200,28.112200
75,75,0,60.263649,64.047751,0.428900,0.358850,0.493600,0.486400,0.423000,0.381750,28.126800,28.115850
100,100,0,77.954902,67.524539,0.473000,0.387387,0.436500,0.473925,0.473800,0.404763,28.229500,28.144263
125,125,0,76.204409,69.694506,0.530300,0.423116,0.386300,0.452019,0.545800,0.440022,28.213800,28.161647
150,150,0,89.685868,74.692347,0.577500,0.461712,0.310600,0.416664,0.574500,0.473641,28.168600,28.163385
175,175,0,104.503296,82.145084,0.658000,0.510784,0.310500,0.390123,0.571300,0.498056,28.231100,28.180314
200,200,0,108.787855,88.805777,0.665400,0.549438,0.268800,0.359792,0.632300,0.531617,28.187000,28.181985
225,225,0,116.823750,95.810270,0.701600,0.587478,0.237300,0.329169,0.676800,0.567913,28.193800,28.184939
250,250,0,120.546127,101.994234,0.742500,0.626234,0.229100,0.304152,0.680600,0.596085,28.254200,28.202254
275,275,0,127.198535,108.295309,0.756700,0.658850,0.169500,0.270489,0.729900,0.629538,28.269400,28.219041
300,300,0,127.256349,113.035569,0.746700,0.680813,0.157800,0.242317,0.732600,0.655304,28.311900,28.242256
325,325,0,135.682041,118.697187,0.828100,0.717635,0.140900,0.216963,0.782600,0.687128,28.341100,28.266967
350,350,0,143.604550,124.924028,0.811000,0.740976,0.156900,0.201947,0.804200,0.716396,28.304800,28.276425
375,375,0,152.032400,131.701121,0.844700,0.766907,0.143500,0.187335,0.841600,0.747697,28.355300,28.296144
400,400,0,144.182781,134.821536,0.847200,0.786980,0.131200,0.173301,0.835900,0.769748,28.447800,28.334058
425,425,0,154.223761,139.672092,0.850200,0.802785,0.109200,0.157276,0.860200,0.792361,28.381000,28.345793
450,450,0,150.101508,142.279446,0.876900,0.821314,0.091900,0.140932,0.869300,0.811596,28.463600,28.375245
475,475,0,158.706335,146.386168,0.878000,0.835485,0.066000,0.122199,0.852700,0.821872,28.466600,28.398084
500,500,0,155.725922,148.721107,0.929000,0.858864,0.076500,0.110774,0.881100,0.836679,28.476300,28.417638
525,525,0,161.277211,151.860133,0.905100,0.870423,0.063700,0.099006,0.883400,0.848359,28.429200,28.420528
550,550,0,171.183756,156.691039,0.917800,0.882267,0.050500,0.086879,0.921800,0.866719,28.432500,28.423521
575,575,0,167.061036,159.283538,0.933200,0.895000,0.054900,0.078884,0.923200,0.880839,28.463100,28.433416
600,600,0,169.142800,161.748353,0.917000,0.900500,0.048700,0.071338,0.933600,0.894030,28.420200,28.430112
625,625,0,164.795259,162.510080,0.935800,0.909325,0.046500,0.065129,0.914000,0.899022,28.477200,28.441884
650,650,0,165.768915,163.324789,0.952300,0.920069,0.048400,0.060947,0.963500,0.915142,28.461000,28.446663
675,675,0,173.469566,165.860983,0.959300,0.929877,0.039800,0.055660,0.943400,0.922206,28.517000,28.464247
700,700,0,178.525015,169.026991,0.950900,0.935133,0.041500,0.052120,0.954700,0.930330,28.490000,28.470685
725,725,0,176.216809,170.824445,0.966400,0.942949,0.035500,0.047965,0.948100,0.934772,28.536100,28.487039
750,750,0,177.576540,172.512469,0.972900,0.950437,0.032200,0.044024,0.960800,0.941279,28.605700,28.516704
775,775,0,172.262858,172.450066,0.972000,0.955828,0.029300,0.040343,0.966000,0.947459,28.630700,28.545203
800,800,0,173.380056,172.682564,0.963400,0.957721,0.041200,0.040557,0.943700,0.946520,28.597900,28.558377
825,825,0,172.545154,172.648211,0.983200,0.964091,0.028300,0.037493,0.951700,0.947815,28.638500,28.578408
850,850,0,175.787756,173.433097,0.984100,0.969093,0.015200,0.031920,0.974100,0.954386,28.673100,28.602081
875,875,0,181.690988,175.497570,0.966300,0.968395,0.023300,0.029765,0.948300,0.952864,28.625500,28.607936
900,900,0,180.933859,176.856642,0.970200,0.968846,0.019200,0.027124,0.978000,0.959148,28.583400,28.601802
925,925,0,179.835587,177.601379,0.990700,0.974310,0.030600,0.027993,0.981900,0.964836,28.612500,28.604476
950,950,0,172.726247,176.382596,0.984600,0.976882,0.012600,0.024144,0.975900,0.967602,28.605600,28.604757
975,975,0,181.206554,177.588585,0.981500,0.978037,0.015900,0.022083,0.975500,0.969577,28.525500,28.584943
1000,1000,0,176.942606,177.427090,0.994000,0.982027,0.018600,0.021213,0.960600,0.967332,28.589000,28.585957
1025,1025,0,184.260634,179.135476,0.981200,0.981821,0.007600,0.017809,0.985400,0.971849,28.575900,28.583443
1050,1050,0,181.525074,179.732876,0.982000,0.981865,0.020100,0.018382,0.984100,0.974912,28.612000,28.590582
1075,1075,0,181.981787,180.295104,0.972500,0.979524,0.007800,0.015737,0.951800,0.969134,28.659600,28.607837
1100,1100,0,184.315201,181.300128,0.977200,0.978943,0.021100,0.017077,0.992800,0.975051,28.623200,28.611677
1125,1125,0,176.775357,180.168935,0.998900,0.983932,0.014800,0.016508,0.977500,0.975663,28.697500,28.633133
1150,1150,0,176.511048,179.254463,0.977200,0.982249,0.025300,0.018706,0.986300,0.978322,28.783400,28.670700
1175,1175,0,179.064867,179.207064,0.989600,0.984087,0.013000,0.017280,0.994000,0.982242,28.724900,28.684250
1200,1200,0,188.220106,181.460325,0.989300,0.985390,0.008500,0.015085,0.984600,0.982831,28.710800,28.690887
1225,1225,0,184.407692,182.197167,0.977700,0.983468,0.007600,0.013213,0.982500,0.982748,28.767200,28.709966
1250,1250,0,184.612793,182.801073,1.000000,0.987601,0.019000,0.014660,0.992300,0.985136,28.739100,28.717249
1275,1275,0,187.951523,184.088686,0.996300,0.989776,0.010900,0.013720,0.991200,0.986652,28.711500,28.715812
1300,1300,0,179.079226,182.836321,0.992300,0.990407,0.003900,0.011265,0.994800,0.988689,28.666700,28.703534
1325,1325,0,182.382434,182.722849,0.987300,0.989630,0.006400,0.010049,0.981400,0.986867,28.702800,28.703350
1350,1350,0,182.880953,182.762375,0.988100,0.989247,0.021700,0.012962,0.979500,0.985025,28.637300,28.686838
1375,1375,0,186.141534,183.607165,1.000000,0.991936,0.014400,0.013321,0.978900,0.983494,28.725900,28.696603
1400,1400,0,190.969084,185.447645,0.991700,0.991877,0.013100,0.013266,0.997300,0.986945,28.648900,28.684678
1425,1425,0,185.215681,185.389654,1.000000,0.993908,0.018700,0.014624,0.986400,0.986809,28.672500,28.681633
1450,1450,0,183.494194,184.915789,0.990500,0.993056,0.010100,0.013493,0.981200,0.985407,28.748300,28.698300
1475,1475,0,183.962638,184.677501,0.985200,0.991092,0.022300,0.015695,0.979800,0.984005,28.711600,28.701625
1500,1500,0,177.799986,182.958122,0.992000,0.991319,0.009600,0.014171,1.005400,0.989354,28.792300,28.724294
1525,1525,0,184.174071,183.262109,0.976500,0.987614,0.005900,0.012103,0.994600,0.990665,28.747600,28.730120
1550,1550,0,190.600491,185.096705,1.000000,0.990711,0.013400,0.012428,0.982500,0.988624,28.774900,28.741315
1575,1575,0,193.317717,187.151958,0.992200,0.991083,0.011800,0.012271,0.982300,0.987043,28.717500,28.735361
1600,1600,0,186.924709,187.095146,1.000000,0.993312,0.010700,0.011878,0.993100,0.988557,28.772800,28.744721
1625,1625,0,184.702945,186.497096,0.993200,0.993284,0.012200,0.011959,1.002200,0.991968,28.771100,28.751316
1650,1650,0,181.477661,185.242237,0.993300,0.993288,0.011900,0.011944,0.999800,0.993926,28.705600,28.739887
1675,1675,0,184.641165,185.091969,0.990900,0.992691,0.008000,0.010958,1.006400,0.997044,28.768300,28.746990
1700,1700,0,190.000852,186.319190,1.000000,0.994518,0.014800,0.011918,0.982700,0.993458,28.664600,28.726393
1725,1725,0,189.543718,187.125322,0.984800,0.992089,0.003000,0.009689,0.990000,0.992594,28.739800,28.729744
1750,1750,0,191.128662,188.126157,0.992700,0.992242,0.015100,0.011042,0.997100,0.993720,28.702500,28.722933
1775,1775,0,189.177351,188.388955,0.994800,0.992881,0.014400,0.011881,0.989100,0.992565,28.778200,28.736750
1800,1800,0,178.446129,185.903249,1.000000,0.994661,0.012400,0.012011,0.999800,0.994374,28.738600,28.737213
1825,1825,0,178.334548,184.011074,0.992500,0.994121,0.016600,0.013158,0.986300,0.992355,28.772400,28.746009
1850,1850,0,182.257626,183.572712,0.980700,0.990765,0.009300,0.012194,0.997600,0.993667,28.787100,28.756282
1875,1875,0,185.974818,184.173238,0.993400,0.991424,0.003200,0.009945,0.971900,0.988225,28.787300,28.764037
1900,1900,0,189.876249,185.598991,0.988800,0.990768,0.007200,0.009259,0.997300,0.990494,28.729500,28.755402
1925,1925,0,188.171364,186.242084,0.991800,0.991026,0.000400,0.007044,0.994900,0.991595,28.776700,28.760727
1950,1950,0,184.226304,185.738139,0.983200,0.989070,0.015500,0.009158,0.996400,0.992796,28.809300,28.772870
1975,1975,0,183.225990,185.110102,1.000000,0.991802,0.008800,0.009069,0.992100,0.992622,28.771200,28.772453
2000,2000,0,184.792465,185.030693,0.998300,0.993427,0.017400,0.011151,0.999500,0.994342,28.775400,28.773189
