episode,baseline_mean_return_mean,baseline_mean_return_std,baseline_mean_return_smooth_mean,baseline_success_rate_mean,baseline_success_rate_std,baseline_success_rate_smooth_mean,baseline_collision_rate_mean,baseline_collision_rate_std,baseline_collision_rate_smooth_mean,baseline_mean_speed_mean,baseline_mean_speed_std,baseline_mean_speed_smooth_mean,ours_mean_return_mean,ours_mean_return_std,ours_mean_return_smooth_mean,ours_success_rate_mean,ours_success_rate_std,ours_success_rate_smooth_mean,ours_collision_rate_mean,ours_collision_rate_std,ours_collision_rate_smooth_mean,ours_mean_speed_mean,ours_mean_speed_std,ours_mean_speed_smooth_mean
9,-22.309909,0.825735,-22.309909,0.156533,0.032757,0.156533,0.669633,0.038236,0.669633,20.078167,0.113345,20.078167,-21.055097,0.373088,-21.055097,0.230067,0.047504,0.230067,0.703100,0.039686,0.703100,20.393067,0.074138,20.393067
19,-14.924755,4.568292,-20.463620,0.162800,0.018414,0.158100,0.717133,0.039742,0.681508,20.100967,0.055371,20.083867,-14.191694,1.073783,-19.339246,0.272233,0.043799,0.240608,0.607000,0.009140,0.679075,20.367733,0.061075,20.386733
29,-8.800468,5.022483,-17.547832,0.231800,0.042583,0.176525,0.699533,0.053035,0.686015,20.090933,0.068616,20.085633,-10.451592,7.619468,-17.117333,0.293967,0.051706,0.253948,0.682700,0.022705,0.679981,20.348567,0.050459,20.377192
39,-8.788476,0.672027,-15.357993,0.206600,0.013854,0.184044,0.667867,0.022266,0.681478,20.107567,0.062214,20.091117,-7.495555,2.947651,-14.711888,0.260867,0.045610,0.255678,0.628667,0.020772,0.667153,20.360800,0.059621,20.373094
49,-14.775301,2.508858,-15.212320,0.204567,0.053440,0.189174,0.653333,0.024196,0.674442,20.172533,0.032173,20.111471,-13.172390,1.509838,-14.327014,0.291833,0.074144,0.264717,0.666067,0.036060,0.666881,20.384333,0.028635,20.375904
59,-19.558743,4.142605,-16.298926,0.212467,0.049399,0.194998,0.701333,0.023208,0.681164,20.116600,0.021710,20.112753,-15.081304,4.707971,-14.515586,0.326067,0.042144,0.280054,0.601833,0.010140,0.650619,20.460967,0.038768,20.397169
69,-20.209526,2.594575,-17.276576,0.228967,0.028137,0.203490,0.651633,0.019447,0.673782,20.118400,0.023965,20.114165,-17.497261,4.989013,-15.261005,0.349233,0.051913,0.297349,0.595100,0.028335,0.636739,20.421600,0.051035,20.403277
79,-24.892256,1.558128,-19.180496,0.206533,0.013800,0.204251,0.638933,0.016092,0.665070,20.154267,0.024634,20.124190,-14.761728,4.893530,-15.136186,0.360767,0.032710,0.313203,0.610100,0.026022,0.630080,20.369033,0.070733,20.394716
89,-16.198766,2.223085,-18.435063,0.242800,0.046490,0.213888,0.659700,0.015286,0.663727,20.148400,0.063540,20.130243,-13.901553,5.900840,-14.827527,0.327867,0.029782,0.316869,0.604500,0.034051,0.623685,20.415700,0.039260,20.399962
99,-9.396070,1.413634,-16.175315,0.242767,0.014921,0.221108,0.644300,0.014505,0.658870,20.118967,0.061685,20.127424,-10.753777,5.053686,-13.809090,0.350300,0.062971,0.325227,0.572267,0.040163,0.610830,20.423300,0.014621,20.405797
