timesteps,mean_return_mean,mean_return_std,mean_return_smooth_mean,success_rate_mean,success_rate_std,success_rate_smooth_mean,collision_rate_mean,collision_rate_std,collision_rate_smooth_mean,mean_speed_mean,mean_speed_std,mean_speed_smooth_mean
9,-22.309909,0.825735,-22.309909,0.156533,0.032757,0.156533,0.669633,0.038236,0.669633,20.078167,0.113345,20.078167
19,-14.924755,4.568292,-20.463620,0.162800,0.018414,0.158100,0.717133,0.039742,0.681508,20.100967,0.055371,20.083867
29,-8.800468,5.022483,-17.547832,0.231800,0.042583,0.176525,0.699533,0.053035,0.686015,20.090933,0.068616,20.085633
39,-8.788476,0.672027,-15.357993,0.206600,0.013854,0.184044,0.667867,0.022266,0.681478,20.107567,0.062214,20.091117
49,-14.775301,2.508858,-15.212320,0.204567,0.053440,0.189174,0.653333,0.024196,0.674442,20.172533,0.032173,20.111471
59,-19.558743,4.142605,-16.298926,0.212467,0.049399,0.194998,0.701333,0.023208,0.681164,20.116600,0.021710,20.112753
69,-20.209526,2.594575,-17.276576,0.228967,0.028137,0.203490,0.651633,0.019447,0.673782,20.118400,0.023965,20.114165
79,-24.892256,1.558128,-19.180496,0.206533,0.013800,0.204251,0.638933,0.016092,0.665070,20.154267,0.024634,20.124190
89,-16.198766,2.223085,-18.435063,0.242800,0.046490,0.213888,0.659700,0.015286,0.663727,20.148400,0.063540,20.130243
99,-9.396070,1.413634,-16.175315,0.242767,0.014921,0.221108,0.644300,0.014505,0.658870,20.118967,0.061685,20.127424
109,-6.833954,4.511680,-13.839975,0.248700,0.023815,0.228006,0.629600,0.011015,0.651553,20.169333,0.009557,20.137901
119,-9.658249,2.764540,-12.794543,0.247900,0.014730,0.232979,0.656933,0.042760,0.652898,20.105033,0.003890,20.129684
129,-8.746135,1.710331,-11.782441,0.248567,0.012557,0.236876,0.660700,0.010486,0.654848,20.191967,0.004620,20.145255
139,-13.884602,3.738159,-12.307981,0.214967,0.018605,0.231399,0.624900,0.012179,0.647361,20.128200,0.043516,20.140991
149,-15.753072,1.307025,-13.169254,0.236567,0.015031,0.232691,0.656000,0.023252,0.649521,20.160333,0.035334,20.145827
