timesteps,mean_return_mean,mean_return_std,mean_return_smooth_mean,success_rate_mean,success_rate_std,success_rate_smooth_mean,collision_rate_mean,collision_rate_std,collision_rate_smooth_mean,mean_speed_mean,mean_speed_std,mean_speed_smooth_mean
9,-21.055097,0.373088,-21.055097,0.230067,0.047504,0.230067,0.703100,0.039686,0.703100,20.393067,0.074138,20.393067
19,-14.191694,1.073783,-19.339246,0.272233,0.043799,0.240608,0.607000,0.009140,0.679075,20.367733,0.061075,20.386733
29,-10.451592,7.619468,-17.117333,0.293967,0.051706,0.253948,0.682700,0.022705,0.679981,20.348567,0.050459,20.377192
39,-7.495555,2.947651,-14.711888,0.260867,0.045610,0.255678,0.628667,0.020772,0.667153,20.360800,0.059621,20.373094
49,-13.172390,1.509838,-14.327014,0.291833,0.074144,0.264717,0.666067,0.036060,0.666881,20.384333,0.028635,20.375904
59,-15.081304,4.707971,-14.515586,0.326067,0.042144,0.280054,0.601833,0.010140,0.650619,20.460967,0.038768,20.397169
69,-17.497261,4.989013,-15.261005,0.349233,0.051913,0.297349,0.595100,0.028335,0.636739,20.421600,0.051035,20.403277
79,-14.761728,4.893530,-15.136186,0.360767,0.032710,0.313203,0.610100,0.026022,0.630080,20.369033,0.070733,20.394716
89,-13.901553,5.900840,-14.827527,0.327867,0.029782,0.316869,0.604500,0.034051,0.623685,20.415700,0.039260,20.399962
99,-10.753777,5.053686,-13.809090,0.350300,0.062971,0.325227,0.572267,0.040163,0.610830,20.423300,0.014621,20.405797
109,-8.980329,5.013280,-12.601900,0.349567,0.040537,0.331312,0.576000,0.027020,0.602123,20.414367,0.067330,20.407939
119,-4.516362,6.200803,-10.580515,0.359700,0.036502,0.338409,0.581133,0.041838,0.596875,20.463633,0.058529,20.421863
129,-1.296596,5.572510,-8.259535,0.343933,0.051438,0.339790,0.576033,0.016330,0.591665,20.419933,0.084697,20.421380
139,-5.825718,3.447165,-7.651081,0.377267,0.077358,0.349159,0.558733,0.011666,0.583432,20.474467,0.069398,20.434652
149,-9.879370,2.951538,-8.208153,0.390633,0.032712,0.359528,0.551800,0.059100,0.575524,20.476567,0.064285,20.445131
159,-7.972229,4.944229,-8.149172,0.357000,0.064440,0.358896,0.527500,0.033392,0.563518,20.381067,0.155646,20.429115
169,-13.767482,5.266485,-9.553750,0.392233,0.059253,0.367230,0.591067,0.039210,0.570405,20.505867,0.050280,20.448303
179,-11.151398,1.655277,-9.953162,0.373133,0.061209,0.368706,0.536567,0.023327,0.561946,20.456400,0.034379,20.450327
189,-9.865751,3.872388,-9.931309,0.413967,0.038670,0.380021,0.549467,0.041605,0.558826,20.488200,0.080225,20.459795
199,-8.982434,4.426914,-9.694090,0.401800,0.092400,0.385466,0.576967,0.033112,0.563361,20.457100,0.068812,20.459121
209,-0.523133,3.865740,-7.401351,0.417967,0.076776,0.393591,0.538433,0.021154,0.557129,20.483833,0.031129,20.465299
219,-2.421359,3.570959,-6.156353,0.402133,0.074424,0.395727,0.523600,0.028134,0.548747,20.419567,0.042191,20.453866
229,-4.388771,2.585123,-5.714457,0.417733,0.033420,0.401228,0.547300,0.024622,0.548385,20.408433,0.059256,20.442508
239,-0.457428,3.012286,-4.400200,0.411133,0.035562,0.403705,0.522633,0.037761,0.541947,20.475367,0.060570,20.450723
249,-2.199934,5.977614,-3.850134,0.406633,0.047252,0.404437,0.512800,0.039476,0.534660,20.443300,0.064283,20.448867
259,-4.399343,5.149189,-3.987436,0.393267,0.047673,0.401644,0.521067,0.034337,0.531262,20.431267,0.100900,20.444467
269,-3.587995,6.813791,-3.887576,0.450333,0.056585,0.413817,0.497833,0.054245,0.522905,20.446733,0.120998,20.445034
279,-0.829104,1.474248,-3.122958,0.438667,0.042560,0.420029,0.533933,0.057621,0.525662,20.462133,0.057756,20.449308
289,-1.893982,7.037612,-2.815714,0.406600,0.021660,0.416672,0.498100,0.028136,0.518771,20.475233,0.145751,20.455790
299,1.697025,5.023815,-1.687529,0.487967,0.028252,0.434496,0.474467,0.039601,0.507695,20.468600,0.094223,20.458992
309,4.633773,5.989411,-0.107204,0.421600,0.031681,0.431272,0.490600,0.052321,0.503421,20.436667,0.089172,20.453411
319,7.860130,5.774646,1.884630,0.437167,0.032173,0.432745,0.531333,0.072389,0.510399,20.521467,0.114327,20.470425
329,5.767895,1.911085,2.855446,0.435600,0.053767,0.433459,0.486133,0.034707,0.504333,20.454033,0.142826,20.466327
339,7.382672,3.312529,3.987253,0.467900,0.038550,0.442069,0.529167,0.048405,0.510541,20.481200,0.097909,20.470045
349,1.862047,2.694610,3.455951,0.468867,0.046574,0.448769,0.514267,0.017293,0.511473,20.487767,0.065578,20.474476
359,0.051186,5.253839,2.604760,0.448233,0.067973,0.448635,0.485867,0.029919,0.505071,20.453167,0.077203,20.469148
369,1.457224,2.110983,2.317876,0.481333,0.037598,0.456809,0.483600,0.038479,0.499703,20.510567,0.100105,20.479503
379,0.095536,2.459430,1.762291,0.470800,0.055975,0.460307,0.500867,0.019748,0.499994,20.491633,0.070380,20.482536
389,3.884604,5.242675,2.292869,0.476667,0.027876,0.464397,0.433567,0.010205,0.483387,20.395567,0.087802,20.460793
399,5.623041,5.641571,3.125412,0.428867,0.062515,0.455514,0.484267,0.019139,0.483607,20.460733,0.093962,20.460778
409,5.914531,3.034102,3.822692,0.485033,0.079966,0.462894,0.505667,0.019392,0.489122,20.437600,0.093805,20.454984
419,7.629765,2.178670,4.774460,0.473833,0.043440,0.465629,0.494767,0.049578,0.490533,20.417233,0.099327,20.445546
429,6.773143,2.292342,5.274131,0.487833,0.044733,0.471180,0.432967,0.002735,0.476142,20.491400,0.070406,20.457010
439,2.624460,4.053739,4.611713,0.489267,0.031895,0.475702,0.441600,0.067699,0.467506,20.476300,0.068752,20.461832
449,-0.040698,2.304544,3.448610,0.492667,0.056788,0.479943,0.452767,0.020884,0.463821,20.537733,0.090753,20.480807
459,2.493554,1.182028,3.209846,0.505667,0.041263,0.486374,0.437733,0.017110,0.457299,20.497600,0.124598,20.485006
469,3.246213,2.130161,3.218938,0.517067,0.046724,0.494047,0.454967,0.011144,0.456716,20.515933,0.104440,20.492738
479,5.343364,5.582633,3.750044,0.536700,0.083007,0.504710,0.462633,0.029960,0.458195,20.521033,0.079040,20.499811
489,7.529776,4.222439,4.694977,0.500433,0.029525,0.503641,0.442600,0.054248,0.454297,20.498400,0.117910,20.499459
499,12.122126,6.425348,6.551764,0.494667,0.071650,0.501397,0.442567,0.065032,0.451364,20.477333,0.126376,20.493927
509,11.486251,3.187423,7.785386,0.534967,0.081042,0.509790,0.420767,0.034170,0.443715,20.443167,0.096968,20.481237
519,11.305455,4.458676,8.665403,0.540100,0.051584,0.517367,0.396333,0.007376,0.431869,20.489867,0.132523,20.483395
529,15.456609,2.141446,10.363205,0.529300,0.037366,0.520350,0.419967,0.034915,0.428894,20.514867,0.090872,20.491263
539,13.628405,5.717436,11.179505,0.532233,0.041808,0.523321,0.420567,0.052380,0.426812,20.466233,0.084360,20.485005
549,9.495222,2.585380,10.758434,0.544600,0.034503,0.528641,0.412800,0.054068,0.423309,20.551800,0.116104,20.501704
559,10.095306,4.293563,10.592652,0.516200,0.036826,0.525531,0.417767,0.034982,0.421923,20.478667,0.115078,20.495945
569,7.127861,3.934126,9.726454,0.523000,0.059193,0.524898,0.434200,0.045957,0.424993,20.521667,0.057980,20.502375
579,11.510563,6.820279,10.172481,0.551367,0.035548,0.531515,0.405800,0.047682,0.420194,20.446700,0.105041,20.488456
589,11.728514,6.788760,10.561489,0.554500,0.076136,0.537261,0.434200,0.073469,0.423696,20.485233,0.089463,20.487651
599,14.474211,4.192901,11.539670,0.523300,0.013898,0.533771,0.428600,0.029516,0.424922,20.526133,0.120027,20.497271
609,14.301853,4.154243,12.230216,0.533700,0.063604,0.533753,0.402967,0.022886,0.419433,20.533133,0.100726,20.506237
619,14.822044,1.043593,12.878173,0.545800,0.007832,0.536765,0.417767,0.037675,0.419016,20.529067,0.067452,20.511944
629,11.558289,4.724308,12.548202,0.514833,0.040259,0.531282,0.412867,0.026572,0.417479,20.533133,0.085559,20.517242
639,11.459445,6.228608,12.276013,0.526767,0.037978,0.530153,0.387333,0.036437,0.409943,20.537767,0.122354,20.522373
649,11.630596,3.801611,12.114658,0.551267,0.037777,0.535432,0.414833,0.048972,0.411165,20.519333,0.068222,20.521613
659,10.161244,2.234934,11.626305,0.552300,0.024019,0.539649,0.396500,0.028246,0.407499,20.474733,0.114491,20.509893
