episode,timesteps,is_best,mean_return,mean_return_smooth,success_rate,success_rate_smooth,collision_rate,collision_rate_smooth,mean_speed,mean_speed_smooth
9,9,0,-20.598511,-20.598511,0.293800,0.293800,0.654900,0.654900,20.321800,20.321800
19,19,0,-12.713050,-18.627146,0.327600,0.302250,0.594500,0.639800,20.442300,20.351925
29,29,0,-5.794514,-15.418988,0.367000,0.318438,0.669000,0.647100,20.376000,20.357944
39,39,0,-11.582433,-14.459849,0.323000,0.319578,0.627000,0.642075,20.439700,20.378383
49,49,0,-14.414439,-14.448497,0.392000,0.337684,0.619000,0.636306,20.414600,20.387437
59,59,0,-20.777993,-16.030871,0.379900,0.348238,0.612500,0.630355,20.515500,20.419453
69,69,0,-13.815777,-15.477097,0.422300,0.366753,0.557900,0.612241,20.391100,20.412365
79,79,0,-11.518957,-14.487562,0.404000,0.376065,0.608800,0.611381,20.465800,20.425723
89,89,0,-5.882022,-12.336177,0.369300,0.374374,0.560200,0.598586,20.466900,20.436018
99,99,0,-4.147982,-10.289128,0.425400,0.387130,0.519900,0.578914,20.423900,20.432988
109,109,0,-5.160271,-9.006914,0.406800,0.392048,0.604900,0.585411,20.464700,20.440916
119,119,0,2.560911,-6.114958,0.406400,0.395636,0.522400,0.569658,20.546200,20.467237
129,129,0,5.952888,-3.097996,0.404800,0.397927,0.567400,0.569093,20.537100,20.484703
139,139,0,-1.655507,-2.737374,0.482900,0.419170,0.570900,0.569545,20.572100,20.506552
149,149,0,-12.156450,-5.092143,0.434000,0.422878,0.468700,0.544334,20.562500,20.520539
159,159,0,-7.989894,-5.816581,0.437800,0.426608,0.512400,0.536350,20.599900,20.540379
169,169,0,-11.177584,-7.156832,0.445600,0.431356,0.540600,0.537413,20.558400,20.544884
179,179,0,-9.048577,-7.629768,0.447200,0.435317,0.561100,0.543335,20.488400,20.530763
189,189,0,-5.728065,-7.154342,0.453800,0.439938,0.493700,0.530926,20.570700,20.540748
199,199,0,-2.835934,-6.074740,0.529900,0.462428,0.538600,0.532844,20.504300,20.531636
