episode,baseline_mean_return_mean,baseline_mean_return_std,baseline_mean_return_smooth_mean,baseline_success_rate_mean,baseline_success_rate_std,baseline_success_rate_smooth_mean,baseline_collision_rate_mean,baseline_collision_rate_std,baseline_collision_rate_smooth_mean,baseline_mean_speed_mean,baseline_mean_speed_std,baseline_mean_speed_smooth_mean,ours_mean_return_mean,ours_mean_return_std,ours_mean_return_smooth_mean,ours_success_rate_mean,ours_success_rate_std,ours_success_rate_smooth_mean,ours_collision_rate_mean,ours_collision_rate_std,ours_collision_rate_smooth_mean,ours_mean_speed_mean,ours_mean_speed_std,ours_mean_speed_smooth_mean
24,31.789309,2.142181,31.789309,0.110867,0.030817,0.110867,0.722900,0.018413,0.722900,7.560667,0.099503,7.560667,24.180431,13.133630,24.180431,0.138567,0.115869,0.138567,0.804133,0.109156,0.804133,8.559033,0.266070,8.559033
49,1.787052,7.546934,24.288745,0.142533,0.063903,0.118783,0.657433,0.092723,0.706533,8.122467,0.494106,7.701117,1.476736,33.042345,18.504507,0.197033,0.044503,0.153183,0.788367,0.009398,0.800192,8.030200,0.251214,8.426825
74,-26.852736,10.000971,11.503374,0.138267,0.035535,0.123654,0.626933,0.059147,0.686633,7.516733,0.073187,7.655021,-19.338082,12.596962,9.043860,0.133600,0.081613,0.148288,0.729133,0.191584,0.782427,8.748900,0.478734,8.507344
99,-29.701616,7.457596,1.202127,0.183200,0.055093,0.138541,0.607867,0.072516,0.666942,8.315933,0.488647,7.820249,-2.559800,23.053082,6.142945,0.191433,0.039862,0.159074,0.725800,0.029605,0.768270,8.790733,1.021350,8.578191
124,4.915216,3.153846,2.130399,0.181133,0.064496,0.149189,0.730233,0.020553,0.682765,7.877233,0.634700,7.834495,16.170537,23.615671,8.649843,0.173267,0.044535,0.162622,0.849367,0.107156,0.788544,6.917467,0.227846,8.163010
149,44.948831,20.559110,12.835007,0.164767,0.085575,0.153083,0.775233,0.071831,0.705882,8.631667,0.467887,8.033788,43.873127,26.093457,17.455664,0.121800,0.078481,0.152417,0.697533,0.136552,0.765792,8.446867,0.949992,8.233974
174,36.809334,13.392153,18.828589,0.205867,0.090239,0.166279,0.504333,0.006616,0.655495,8.001433,0.645717,8.025699,21.774529,24.790597,18.535380,0.248600,0.022706,0.176462,0.671300,0.068603,0.742169,7.680333,1.147225,8.095564
199,2.519704,3.651009,14.751368,0.180533,0.072107,0.169843,0.690033,0.060691,0.664129,8.533367,0.416298,8.152616,4.571221,37.435768,15.044341,0.269367,0.091939,0.199689,0.704167,0.017007,0.732668,7.417467,0.418748,7.926040
224,-24.215930,4.397310,5.009543,0.136100,0.040852,0.161407,0.628633,0.047428,0.655255,7.750333,0.201053,8.052045,-20.997922,14.830321,6.033775,0.313100,0.087315,0.228041,0.474067,0.063372,0.668018,7.684067,0.329902,7.865546
249,-25.812947,9.803740,-2.696079,0.203533,0.104733,0.171939,0.543933,0.057233,0.627425,7.606733,0.199452,7.940717,-5.543849,20.043084,3.139369,0.276100,0.048123,0.240056,0.595100,0.057527,0.649788,8.306467,1.254937,7.975776
