timesteps,mean_return_mean,mean_return_std,mean_return_smooth_mean,success_rate_mean,success_rate_std,success_rate_smooth_mean,collision_rate_mean,collision_rate_std,collision_rate_smooth_mean,mean_speed_mean,mean_speed_std,mean_speed_smooth_mean
24,24.180431,13.133630,24.180431,0.138567,0.115869,0.138567,0.804133,0.109156,0.804133,8.559033,0.266070,8.559033
49,1.476736,33.042345,18.504507,0.197033,0.044503,0.153183,0.788367,0.009398,0.800192,8.030200,0.251214,8.426825
74,-19.338082,12.596962,9.043860,0.133600,0.081613,0.148288,0.729133,0.191584,0.782427,8.748900,0.478734,8.507344
99,-2.559800,23.053082,6.142945,0.191433,0.039862,0.159074,0.725800,0.029605,0.768270,8.790733,1.021350,8.578191
124,16.170537,23.615671,8.649843,0.173267,0.044535,0.162622,0.849367,0.107156,0.788544,6.917467,0.227846,8.163010
149,43.873127,26.093457,17.455664,0.121800,0.078481,0.152417,0.697533,0.136552,0.765792,8.446867,0.949992,8.233974
174,21.774529,24.790597,18.535380,0.248600,0.022706,0.176462,0.671300,0.068603,0.742169,7.680333,1.147225,8.095564
199,4.571221,37.435768,15.044341,0.269367,0.091939,0.199689,0.704167,0.017007,0.732668,7.417467,0.418748,7.926040
224,-20.997922,14.830321,6.033775,0.313100,0.087315,0.228041,0.474067,0.063372,0.668018,7.684067,0.329902,7.865546
249,-5.543849,20.043084,3.139369,0.276100,0.048123,0.240056,0.595100,0.057527,0.649788,8.306467,1.254937,7.975776
274,-6.954977,27.158012,0.615783,0.322533,0.047239,0.260675,0.736067,0.112243,0.671358,8.028567,0.266561,7.988974
299,11.861312,13.971957,3.427165,0.243667,0.048137,0.256423,0.662600,0.029341,0.669168,9.667500,0.641815,8.408606
324,14.713823,14.260829,6.248830,0.353600,0.162857,0.280717,0.660633,0.121078,0.667035,8.931733,0.166166,8.539387
349,-12.674680,34.631671,1.517952,0.259967,0.094577,0.275530,0.617567,0.118093,0.654668,10.715433,0.667396,9.083399
374,-12.457047,11.272401,-1.975798,0.316133,0.044704,0.285681,0.560167,0.053319,0.631042,10.479100,0.621698,9.432324
399,-7.756662,10.595264,-3.421014,0.353800,0.011390,0.302710,0.578400,0.125644,0.617882,9.061133,0.324834,9.339526
424,4.741489,24.457407,-1.380388,0.293467,0.115623,0.300400,0.526200,0.028665,0.594961,9.986300,0.891567,9.501220
449,34.223382,18.711619,7.520555,0.346467,0.067135,0.311916,0.486867,0.031889,0.567938,10.534900,0.806684,9.759640
474,36.583587,8.889290,14.786313,0.396933,0.057597,0.333171,0.462467,0.129529,0.541570,9.799767,0.663693,9.769672
