init,     2026-04-08 14:20:08.315999
arguments,Namespace(lr=0.001, gamma=0.97, entropy=0.1, PPO_epochs=5, eps_clip=0.2, alg='ppo', cuda=-1, thread=-1, train_num=2000, rep=11, ignore_checkpoint=False, monitor_time=False, task='gymip', model='rwtaprob', optimizer='rmsprop', gymip_train_xml='inverted_pendulum_ChangeThk_0.050000.xml', hidden_num=64, hid_group_num=8, hid_group_size=8, rwta_del_connection='none', response_window=40, snn_num_steps=15, road_scenario='merge', traffic_level='standard', skip_post_tests=False)
model_dir,/root/autodl-tmp/SVPG2023/LANE/training_runs/baseline/merge/models
log_dir,  /root/autodl-tmp/SVPG2023/LANE/training_runs/baseline/merge/logs
train,    1, -75.517360
train,    2, -66.143477
train,    3, -56.428426
train,    4, -81.045845
train,    5, -86.167777
train,    6, -74.418345
train,    7, -65.351874
train,    8, -79.926591
train,    9, -88.254718
train,    10, 18.662711
train,    11, -61.582810
train,    12, 17.255915
train,    13, -92.180927
train,    14, 16.073454
train,    15, -87.161376
train,    16, -93.226933
train,    17, -73.568656
train,    18, -72.251475
train,    19, -73.619441
train,    20, -74.539590
train,    21, -79.322658
train,    22, -71.782773
train,    23, -72.211570
train,    24, -71.968872
train,    25, -59.278237
train,    26, -59.522189
train,    27, -65.722258
train,    28, -82.357023
train,    29, -59.021806
train,    30, -63.834131
train,    31, -64.449823
train,    32, -60.100716
train,    33, -75.308882
train,    34, -57.092785
train,    35, -65.661088
train,    36, -60.598155
train,    37, -53.791716
train,    38, -63.465899
train,    39, -74.241619
train,    40, -55.773272
train,    41, -65.572780
train,    42, -58.339417
train,    43, -60.055173
train,    44, -65.629996
train,    45, -63.452868
train,    46, -58.671199
train,    47, -64.865146
train,    48, -60.310692
train,    49, -64.879216
train,    50, -63.731189
train,    51, -60.522316
train,    52, -71.077846
train,    53, -60.056381
train,    54, -65.007817
train,    55, -60.177479
train,    56, -60.179465
train,    57, -65.442553
train,    58, -59.701992
train,    59, -60.266060
train,    60, -72.361579
train,    61, -54.003931
train,    62, -60.353356
train,    63, -71.620793
train,    64, -60.053242
train,    65, -60.000267
train,    66, -60.058591
train,    67, -72.122754
train,    68, -60.176059
train,    69, -60.057156
train,    70, -60.137835
train,    71, -60.135057
train,    72, -60.057173
train,    73, -65.443129
train,    74, -60.184513
train,    75, -60.058718
train,    76, -65.680982
train,    77, -60.322732
train,    78, -63.450890
train,    79, -65.696852
train,    80, -60.327966
train,    81, -60.056368
train,    82, -60.057227
train,    83, -60.291166
train,    84, -60.052396
train,    85, -60.058609
train,    86, 31.795923
train,    87, -60.052329
train,    88, -60.309591
train,    89, -60.053756
train,    90, -60.053197
train,    91, -60.185083
train,    92, -60.356684
train,    93, -60.052765
train,    94, -60.292505
train,    95, -60.293671
train,    96, -60.319540
train,    97, -60.056895
train,    98, -60.143063
train,    99, -60.239416
val_save, 99,   -60.144368
val,      99,   -60.144368,   -60.239416
train,    100, -60.252525
train,    101, -60.055674
train,    102, -60.053642
train,    103, -60.052680
train,    104, -60.056433
train,    105, -60.300328
train,    106, -74.284966
train,    107, -60.053331
train,    108, -60.056574
train,    109, -60.052550
train,    110, -60.052404
train,    111, -60.058448
train,    112, -60.053594
train,    113, -60.058397
train,    114, -60.271596
train,    115, -60.056512
train,    116, -60.056315
train,    117, -60.055554
train,    118, -65.427877
train,    119, -60.055568
train,    120, -60.253154
train,    121, -60.053799
train,    122, -60.295620
train,    123, -60.261966
train,    124, -60.279943
train,    125, -60.248609
train,    126, -60.317965
train,    127, -60.052550
train,    128, -60.055699
train,    129, -60.052861
train,    130, -60.287031
train,    131, -71.449916
train,    132, -60.279437
train,    133, -60.052860
train,    134, -60.055375
train,    135, -60.056774
train,    136, -60.053543
train,    137, -60.235615
train,    138, -60.296226
train,    139, -60.055350
train,    140, -60.055618
train,    141, -60.053778
train,    142, -60.220922
train,    143, -60.052631
train,    144, -60.053132
train,    145, -60.296728
train,    146, -60.243640
train,    147, -57.553037
train,    148, -60.052963
train,    149, -60.058881
train,    150, -60.057263
train,    151, -60.251118
train,    152, -60.290518
train,    153, -60.220711
train,    154, -60.056258
train,    155, -60.298829
train,    156, -60.225659
train,    157, -60.264744
train,    158, -60.290487
