init,     2026-04-08 12:26:48.740703
arguments,Namespace(lr=0.001, gamma=0.97, entropy=0.1, PPO_epochs=5, eps_clip=0.2, alg='ppo', cuda=-1, thread=-1, train_num=2000, rep=11, ignore_checkpoint=False, monitor_time=False, task='gymip', model='rwtaspk', optimizer='rmsprop', gymip_train_xml='inverted_pendulum_ChangeThk_0.050000.xml', hidden_num=64, hid_group_num=8, hid_group_size=8, rwta_del_connection='none', response_window=40, snn_num_steps=15, road_scenario='merge', traffic_level='standard', skip_post_tests=False)
model_dir,/root/autodl-tmp/SVPG2023/LANE/training_runs/baseline/merge/models
log_dir,  /root/autodl-tmp/SVPG2023/LANE/training_runs/baseline/merge/logs
train,    1, 31.222909
train,    2, -32.817538
train,    3, -37.031090
train,    4, -37.662099
train,    5, -37.745549
train,    6, -37.247237
train,    7, -38.543430
train,    8, -39.319265
train,    9, -36.699074
train,    10, -38.632774
train,    11, -36.550950
train,    12, -38.676159
train,    13, -44.334339
train,    14, -38.820491
train,    15, -42.629862
train,    16, -38.899422
train,    17, -37.651778
train,    18, -37.454088
train,    19, -42.455837
train,    20, -38.554597
train,    21, -38.847496
train,    22, -42.536622
train,    23, -37.849776
train,    24, -37.762126
train,    25, -39.274255
train,    26, -37.899761
train,    27, -41.012458
train,    28, -38.090430
train,    29, -37.792874
train,    30, -37.923062
train,    31, -36.456399
train,    32, -37.140690
train,    33, -38.053969
train,    34, -42.589562
train,    35, -38.455115
train,    36, -35.583610
train,    37, -36.156748
train,    38, -37.491366
train,    39, -42.349227
train,    40, -37.153636
train,    41, -37.478343
resume,   2026-04-08 12:30:46.383545
train,    42, -36.815076
train,    43, -37.789950
train,    44, -36.029130
train,    45, -35.555925
train,    46, -35.793301
train,    47, -36.247221
train,    48, -35.805948
train,    49, -35.258694
train,    50, -35.170201
train,    51, -35.261320
train,    52, -35.170049
train,    53, -35.393547
train,    54, 35.564003
train,    55, -35.662453
train,    56, -35.169843
train,    57, -36.627683
train,    58, -40.782420
train,    59, -35.597512
train,    60, -35.484982
train,    61, -35.170434
train,    62, -35.254903
train,    63, -35.170235
train,    64, -35.258696
train,    65, -35.400902
train,    66, -35.253569
train,    67, 35.589348
train,    68, -36.262957
train,    69, -35.443114
train,    70, -35.261317
train,    71, -35.497933
train,    72, -35.769902
train,    73, -35.632915
train,    74, -35.291733
train,    75, -35.177937
train,    76, -37.275990
train,    77, -35.480474
train,    78, -36.105950
train,    79, -36.096085
train,    80, -35.388286
train,    81, -35.372977
train,    82, -35.429153
train,    83, -35.253666
train,    84, -35.382767
train,    85, -36.264440
train,    86, -35.471195
train,    87, -35.250949
train,    88, -35.438292
train,    89, -35.340814
train,    90, -35.301836
train,    91, -35.502434
train,    92, -35.390130
train,    93, -35.391143
train,    94, -35.173485
train,    95, -35.390404
train,    96, -35.350337
train,    97, -35.175444
train,    98, -35.288651
train,    99, -35.893225
val_save, 99,   -35.415457
val,      99,   -35.415457,   -35.893225
train,    100, -35.169093
train,    101, -35.171713
train,    102, -35.168946
train,    103, -35.921350
train,    104, -36.312785
train,    105, -35.412449
train,    106, -35.412411
train,    107, -35.435919
train,    108, -36.347695
train,    109, -36.715677
train,    110, -35.432064
train,    111, 35.390694
train,    112, -35.169558
train,    113, -35.633946
train,    114, -35.910759
train,    115, -36.934418
train,    116, -35.253966
train,    117, -36.263220
train,    118, -35.492494
train,    119, -35.310818
train,    120, -37.600672
train,    121, -35.932569
train,    122, -35.343994
train,    123, -36.213481
