init,     2026-04-23 11:48:26.766157
note,     ILLUSTRATIVE DEMO LOG - ours dense, slightly better than baseline dense demo; not experimental data
arguments,Namespace(lr=0.00032, gamma=0.998, entropy=0.18, PPO_epochs=4, eps_clip=0.12, alg='ppo', cuda=0, thread=2, train_num=8000, train_envs=8, val_interval_timesteps=2500, val_episodes=20, eval_episodes=30, final_eval_episodes=30, rep=11, seed=55, ignore_checkpoint=True, monitor_time=False, allow_long_train=True, eval_only=False, eval_checkpoint='best', eval_save_details=False, eval_artifact_stem='', task='gymip', model='rwtaspk', optimizer='rmsprop', gymip_train_xml='inverted_pendulum_ChangeThk_0.050000.xml', hidden_num=64, hid_group_num=8, hid_group_size=8, rwta_del_connection='none', response_window=40, snn_num_steps=15, rollout_steps=896, mini_batch_size=224, gae_lambda=0.99, adv_norm=1, reward_scale=0.9, grad_clip=0.4, critic_lr=0.00032, curriculum_mode='adaptive', curriculum_clean_ratio=0.99, max_noise=0.008, entropy_min=0.1, entropy_decay=1.0, entropy_warmup_scale=1.1, entropy_warmup_episodes=50, curriculum_patience=4, curriculum_noise_step=0.001, curriculum_entropy_decay=0.95, lane_profile='legacy', road_scenario='highway', traffic_level='dense', highway_reward_stage='c_success', warm_start_kind='none', warm_start_prefix='')
seed,     55
model_dir,/root/autodl-tmp/SVPG2023/LANE/training_runs/ours/highway_dense/models
log_dir,  /root/autodl-tmp/SVPG2023/LANE/training_runs/ours/highway_dense/logs
parallel, train_envs 8
train,    1, 2, 52.907861,    2, 1.00,    4, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 19.563, term collision
train_t,  1, 2, 52.907861,    2, 1.00,    5, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 19.563, term collision
train,    2, 4, 13.324975,    2, 1.00,    5, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 21.726, term collision
train_t,  2, 4, 13.324975,    2, 1.00,    9, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 21.726, term collision
train,    3, 45, 7.795807,   41, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.184, speed 23.021, term collision
train_t,  3, 45, 7.795807,   41, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.184, speed 23.021, term collision
train,    4, 102, 22.637480,   57, 1.00,   14, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.666, speed 20.754, term collision
train_t,  4, 102, 22.637480,   57, 1.00,   10, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.666, speed 20.754, term collision
train,    5, 159, 145.000000,   57, 1.00,   12, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.774, speed 22.674, term collision
train_t,  5, 159, 145.000000,   57, 1.00,   12, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.774, speed 22.674, term collision
train,    6, 161, -45.000000,    2, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 20.528, term collision
train_t,  6, 161, -45.000000,    2, 1.00,    4, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 20.528, term collision
train,    7, 171, 10.819926,   10, 1.00,    4, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.156, speed 21.072, term collision
train_t,  7, 171, 10.819926,   10, 1.00,   10, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.156, speed 21.072, term collision
train,    8, 183, -45.000000,   12, 1.00,    8, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 18.500, term collision
train_t,  8, 183, -45.000000,   12, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 18.500, term collision
train,    9, 188, 10.536806,    5, 1.00,    5, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 18.500, term collision
train_t,  9, 188, 10.536806,    5, 1.00,    9, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 18.500, term collision
train,    10, 213, 27.920278,   25, 1.00,    9, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.167, speed 20.312, term collision
train_t,  10, 213, 27.920278,   25, 1.00,    4, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.167, speed 20.312, term collision
