init,     2026-04-13 00:47:22.455451
arguments,Namespace(PPO_epochs=4, adv_norm=1, alg='ppo', cuda=0, curriculum_clean_ratio=0.94, curriculum_entropy_decay=0.94, curriculum_mode='adaptive', curriculum_noise_step=0.006, curriculum_patience=3, entropy=0.1, entropy_min=0.04, eps_clip=0.12, gae_lambda=0.98, gamma=0.997, grad_clip=0.4, gymip_train_xml='inverted_pendulum_ChangeThk_0.050000.xml', hid_group_num=8, hid_group_size=8, hidden_num=64, ignore_checkpoint=False, lane_profile='auto', lr=0.00035, max_noise=0.03, mini_batch_size=224, model='rwtaspk', monitor_time=False, optimizer='rmsprop', rep=11, response_window=40, reward_scale=0.9, road_scenario='highway', rollout_steps=896, rwta_del_connection='none', seed=13062, snn_num_steps=15, task='gymip', thread=-1, traffic_level='dense', train_num=6000, warm_start_kind='ours', warm_start_prefix='')
seed,     13062
model_dir,/root/autodl-tmp/SVPG2023/LANE/training_runs/ours/highway_dense/models
log_dir,  /root/autodl-tmp/SVPG2023/LANE/training_runs/ours/highway_dense/logs
profile,  lane auto-stabilize: lr->0.0005, gamma->0.995, PPO_epochs->4, eps_clip->0.15, rollout_steps->512, mini_batch_size->128, gae_lambda->0.97, grad_clip->0.5, curriculum_clean_ratio->0.8, max_noise->0.08, curriculum_noise_step->0.02, lr->0.00035, gamma->0.997, entropy_min->0.04, eps_clip->0.12, rollout_steps->896, mini_batch_size->224, gae_lambda->0.98, reward_scale->0.9, grad_clip->0.4, curriculum_clean_ratio->0.94, max_noise->0.03, curriculum_noise_step->0.006, curriculum_patience->3, curriculum_entropy_decay->0.94
warm_start,/root/autodl-tmp/SVPG2023/LANE/training_runs/ours/highway_dense/models/ppo_gymip_rwtaspk_h8-8-40_none_rmsprop_0.000500_2.00_0.99500_4_0.1500_ro512_mb128_lam0.97_rs1.00_gc0.50_adaptive_roadhighway_tfdense_seed32_best
warm_critic,/root/autodl-tmp/SVPG2023/LANE/training_runs/ours/highway_dense/models/ppo_gymip_rwtaspk_h8-8-40_none_rmsprop_0.000500_2.00_0.99500_4_0.1500_ro512_mb128_lam0.97_rs1.00_gc0.50_adaptive_roadhighway_tfdense_seed32critic_best
train,    1, -14.066606,    2, 1.00,    0, 0.000, 0.000, 0.100, 36
train,    2, -8.741137,    3, 1.00,    2, 0.000, 0.000, 0.100, 36
train,    3, -8.667927,    2, 1.00,    0, 0.000, 0.000, 0.100, 36
train,    4, -11.811888,    1, 1.00,    0, 0.000, 0.000, 0.100, 36
train,    5, -12.805462,    1, 1.00,    0, 0.000, 0.000, 0.100, 36
train,    6, -12.828105,    1, 1.00,    0, 0.000, 0.000, 0.100, 37
train,    7, -11.693095,    1, 1.00,    0, 0.000, 0.000, 0.100, 37
train,    8, -9.689034,    2, 1.00,    1, 0.000, 0.000, 0.100, 37
train,    9, -11.811888,    1, 1.00,    0, 0.000, 0.000, 0.100, 37
train,    10, -14.898343,    3, 1.00,    2, 0.000, 0.000, 0.100, 37
train,    11, -12.339578,    1, 1.00,    1, 0.000, 0.000, 0.100, 37
train,    12, -12.540857,    2, 1.00,    0, 0.000, 0.000, 0.100, 37
train,    13, -21.561103,    7, 1.00,    1, 0.000, 0.000, 0.100, 37
train,    14, -13.600895,    2, 1.00,    1, 0.000, 0.000, 0.100, 37
train,    15, -12.869336,    2, 1.00,    0, 0.000, 0.000, 0.100, 37
train,    16, -8.942460,    2, 1.00,    0, 0.000, 0.000, 0.100, 37
train,    17, -11.811888,    1, 1.00,    0, 0.000, 0.000, 0.100, 37
train,    18, -11.322500,    1, 1.00,    0, 0.000, 0.000, 0.100, 38
train,    19, -12.826359,    1, 1.00,    0, 0.000, 0.000, 0.100, 38
train,    20, -12.827515,    1, 1.00,    0, 0.000, 0.000, 0.100, 38
train,    21, -11.811888,    1, 1.00,    0, 0.000, 0.000, 0.100, 38
train,    22, 13.124167,    5, 1.00,    2, 0.000, 0.000, 0.100, 38
train,    23, -2.854737,    3, 1.00,    2, 0.000, 0.000, 0.100, 38
train,    24, -14.691498,    2, 1.00,    1, 0.000, 0.000, 0.100, 38
val_save, 24, -11.364118, 1.0000,   1.2000,   0.0000, 0.0000,  27.7041
val,      24, -11.364118, 1.0000,   1.2000,   0.0000, 0.0000,  27.7041
train,    25, -7.964457,    2, 1.00,    1, 0.000, 0.000, 0.100, 38
